chro	tsne_p50_1	tsne_p50_2	tsne_p100_1	tsne_p100_2	tsne_p250_1	tsne_p250_2	tsne_p1000_1	tsne_p1000_2
AGAP000046	X	-57.98352016	-110.4872407	-51.85870997	75.1514975	-6.331648215	22.36859829	-1.143414652	-4.83997311
AGAP000047	X	-47.23461056	-95.88659548	-45.19336929	63.72765803	-5.772411778	19.09883325	-0.930843985	-3.868854748
AGAP000048	X	-60.63996714	-124.3663038	-60.2973314	81.33987737	-7.383225277	24.4145292	-1.285641644	-5.427782792
AGAP000049	X	-37.30222754	-114.9026863	-62.74891571	64.02787511	-8.613442527	19.87010864	-0.709865966	-4.422976608
AGAP000051	X	-16.28842941	-102.6112227	-65.21112334	53.33186959	-8.355320244	16.03833531	-0.477062609	-4.094361227
AGAP000053	X	-48.53866013	-93.36910358	-35.9908338	55.3958481	-3.337598242	17.87601734	-1.28172386	-2.977294039
AGAP000054	X	-65.36105579	-114.2024765	-51.51454344	81.56516377	-5.37362458	23.51549363	-1.408355548	-4.904620833
AGAP000055	X	-51.82182941	-117.691804	-60.54150241	72.72853921	-7.240410783	22.27152188	-1.124418142	-4.906459475
AGAP000056	X	-42.4970804	-91.99331829	-50.09768427	52.73463117	-6.135561415	16.96501515	-0.452354673	-3.072922035
AGAP000057	X	-55.46166495	-106.8983778	-49.85180593	72.82345785	-5.702427814	21.54070687	-1.093554683	-4.449894009
AGAP000058	X	-64.19691507	-120.9031946	-57.135415	83.45427532	-6.492705614	24.46977882	-1.443757964	-5.347092335
AGAP000061	X	-54.67109984	-88.9560461	-38.36391186	63.00569312	-3.83585805	18.6632025	-1.158940383	-3.272626573
AGAP000062	X	-30.15226165	-107.233913	-60.46408472	59.46348457	-8.175039633	18.50955196	-0.680117317	-4.432358625
AGAP000063	X	-38.94804092	-112.4075415	-60.12098481	64.39072215	-7.459566276	19.64814115	-0.812729484	-4.38769497
AGAP000064	X	-53.58304698	-113.1308709	-55.09983994	72.39027189	-7.466908847	21.99543272	-0.853788564	-4.814300785
AGAP000065	X	-51.85839998	-120.5337423	-59.82850561	78.50680459	-7.567675864	23.51057226	-1.193719393	-5.254089877
AGAP000066	X	-57.79427229	-97.68184525	-42.31755877	75.12216627	-3.428170394	22.27834676	-1.089722234	-4.099793326
AGAP000067	X	13.51683473	-64.646257	-30.36658027	-6.095947157	-8.559308046	8.922510858	0.29578011	0.912714178
AGAP000068	X	-61.62533226	-81.40203436	-37.63379598	76.48686831	-2.093799997	18.7283233	0.205267165	-1.570517344
AGAP000069	X	-60.67585011	-85.01207397	-32.44124439	64.85272896	-1.968930609	19.16105948	-1.370658901	-2.262157676
AGAP000070	X	-78.90683837	35.33789183	-23.50249684	71.71526387	7.67989383	14.87549628	-1.946070534	-2.598635406
AGAP000071	X	-67.40292149	-86.46002488	-31.47857075	67.57477516	-1.491455369	19.62456409	-1.630107321	-2.77803918
AGAP000072	X	26.19731048	-11.43731974	-15.13686877	-13.66572649	2.619741469	1.25490027	0.563433584	1.29549209
AGAP000073	X	-53.22297192	-85.19593906	-36.24303645	63.23271388	-2.634873916	19.26414075	-1.32136181	-3.110608524
AGAP000074	X	-56.51612322	-111.6027639	-53.17198905	75.02246583	-6.334797324	22.38041757	-1.14522623	-4.884034409
AGAP000075	X	-56.01566598	-115.0745669	-55.50327999	75.69171021	-6.569621523	22.31996672	-1.167377889	-4.819006238
AGAP000076	X	-44.00114892	-110.5834499	-56.92841619	66.10169951	-8.273041949	20.61496819	-0.852890181	-4.675415339
AGAP000078	X	-48.09636715	-79.76058657	-37.39584924	57.40997076	-3.417350779	16.28866334	-0.718757821	-2.125250997
AGAP000079	X	10.3428612	-20.98030382	-18.92788045	2.434314182	-3.593222586	2.597108266	-0.099089027	0.706843484
AGAP000080	X	-52.53779021	-85.69879954	-36.34121716	62.59652016	-2.921220967	18.66937833	-1.307426729	-3.051155445
AGAP000081	X	-55.02714287	-90.37345498	-38.93638518	64.2569332	-3.964471302	18.65625523	-1.376423503	-3.590493242
AGAP000082	X	-57.88871445	-110.1361752	-51.60384962	74.86518822	-6.240056858	22.06441469	-1.115175258	-4.712109563
AGAP000083	X	-51.55247005	24.8015251	-4.81634248	47.38290107	3.768622704	11.29638002	-0.592899862	-0.669928917
AGAP000084	X	-48.86305783	-84.42993371	-37.17053019	60.05486197	-3.79996086	17.20165898	-0.176673205	-0.51075053
AGAP000085	X	-43.86433059	-77.39749695	-36.02778813	51.92073491	-3.367465554	15.4900139	0.430770968	-0.69601885
AGAP000086	X	-46.11489013	-83.82865189	-41.65784107	53.59572821	-5.937218812	15.98797608	0.118743749	-0.687864877
AGAP000090	X	-68.17228774	-105.0958283	-45.63244707	77.98901244	-3.991617281	22.04550983	-1.479716806	-4.431622693
AGAP000091	X	-40.98796441	-36.8243891	32.30616316	9.230750564	-2.251687709	-2.644280768	1.916457054	0.106812227
AGAP000092	X	-44.28524132	-92.83319959	-46.12665415	61.67572562	-5.547084885	19.03496089	-0.820628011	-3.585699872
AGAP000093	X	-66.00032055	-88.8931821	-30.04010829	68.21730537	-1.383022637	19.65104724	-1.364810894	-2.87460785
AGAP000094	X	5.34096824	-48.29855871	-24.56115327	12.59496206	-5.76818546	5.991120836	0.062691251	0.845909174
AGAP000095	X	-62.14009575	-96.90495508	-41.7349669	66.2989947	-4.471237638	19.77648746	-1.365703926	-3.891913978
AGAP000096	X	-25.40300437	-87.12633333	-55.55389611	44.51648284	3.882222306	4.820797632	-0.775294995	1.075313219
AGAP000097	X	-5.287655745	-20.73174051	-1.808643487	8.363099631	2.697602748	-2.02961148	1.247131306	-0.172469907
AGAP000098	X	-40.84186821	-111.5012484	-58.02323548	64.50413151	-7.694251256	19.79943975	-0.816983374	-4.409001297
AGAP000099	X	-50.33961188	-80.09635986	-46.30403676	40.10455221	-5.308686534	12.5207553	-0.196869739	0.820723117
AGAP000100	X	-3.817675262	-16.96976115	8.570182932	1.985410947	-2.231889287	-0.301737109	0.560427595	-0.077379478
AGAP000102	X	-40.74860574	-97.96409254	-49.70693399	60.86352206	-4.412301526	18.63513361	-1.404169938	-3.751489948
AGAP000104	X	19.8923301	-5.261682519	4.261164392	2.119569002	1.513904814	1.759931153	0.387814309	0.073024487
AGAP000105	X	-62.18229528	-110.5405551	-50.45898118	77.65646596	-4.93618945	22.88440011	-1.48103655	-4.620371632
AGAP000106	X	-66.25258536	-83.51321993	-30.29759967	65.82036832	-0.969837163	18.95549234	-1.653148462	-2.423082468
AGAP000108	X	8.062582781	-36.89917968	-37.81548271	14.79160875	-6.060791611	7.92546242	0.082388327	0.243269106
AGAP000109	X	15.52315355	-11.82007663	-3.357467405	-7.966965131	-2.638342815	1.333510596	0.162842899	0.126196018
AGAP000110	X	-43.16889776	28.76673554	8.311931693	52.79484154	7.860151989	11.93059248	-1.922662674	-1.799059927
AGAP000111	X	2.656568707	-32.40943191	-16.00171735	19.06527596	-2.13939276	14.13860512	-0.600796888	-1.47376802
AGAP000112	X	-31.71897228	-111.6664108	-62.4204581	59.84079441	-7.978840665	19.14567424	-0.828767094	-4.60726547
AGAP000114	X	-64.6085039	-114.9064557	-52.34048712	81.33832076	-5.559986577	23.8564448	-1.514628624	-5.085269252
AGAP000115	X	-63.8640048	-88.0519245	-28.14002611	66.94387828	0.589780216	20.28949017	-1.720330783	-1.899452574
AGAP000116	X	-53.87699652	-95.1330524	-44.69045333	69.604068	-8.570456621	18.65560643	-0.635095092	-4.065877241
AGAP000117	X	40.09045506	-14.9783627	-24.93420326	-11.81604522	-0.42587489	4.91645025	-0.346604668	0.751639379
AGAP000118	X	-3.967942417	-2.474765983	-4.193176785	10.35658096	0.605752573	3.998698235	-0.269720761	-0.124103923
AGAP000119	X	43.57041579	-20.33542306	2.782279557	-14.70845579	0.926846494	-1.644014431	0.083341565	-0.455604602
AGAP000120	X	-47.78890755	-42.41684583	12.4394226	13.66140548	-8.301208903	15.88468214	1.138062583	4.80E-05
AGAP000121	X	-67.54264978	-87.11072789	-31.53461647	68.03207553	-1.513918306	19.7633671	-1.629462808	-3.02132137
AGAP000123	X	-58.25019203	-93.58874675	-41.8938612	64.19895106	-4.301881115	20.01867107	-1.270028702	-4.199247964
AGAP000124	X	-54.61108454	-119.4753297	-59.50678574	76.73180574	-7.611303944	23.12347263	-1.170768358	-5.151828097
AGAP000126	X	-59.08384158	-122.9896073	-59.3734007	80.72622966	-7.274380482	24.48657129	-1.332825382	-5.474982134
AGAP000127	X	11.70829474	-67.28636965	-44.41031265	38.81128326	-5.048325206	10.76492274	0.454673512	1.386229606
AGAP000128	X	-59.70586006	-90.91169431	-38.19658814	67.51696641	-3.443190138	19.55507668	-1.32205175	-3.478736787
AGAP000129	X	-52.68088787	-116.3432861	-57.55094105	73.5552324	-7.243692548	22.0706886	-1.060530464	-4.831593091
AGAP000131	X	-19.51391199	-118.9396437	-44.20733182	55.1686887	-9.897283061	15.65577773	-0.427037499	-3.076289851
AGAP000132	X	-24.53873764	20.30811108	10.32336794	43.70961607	7.443029092	9.625980317	-0.963803685	-0.873289133
AGAP000133	X	15.30515788	-2.429207547	-5.418748459	-4.626287516	0.366356421	1.762460686	0.042249099	0.064036982
AGAP000136	X	-58.07076863	-112.8597455	-53.52870762	76.35229328	-6.141016083	22.63662693	-1.205260846	-4.879825145
AGAP000137	X	-57.92884869	-103.1113199	-45.68197596	73.45392867	-4.750384861	21.60239968	-1.169492395	-4.499644336
AGAP000138	X	-36.32840442	-82.56999677	-46.64615762	47.54889258	-8.979216715	13.31963738	0.207448296	0.414300594
AGAP000139	X	-53.90372395	-111.239424	-53.69506114	72.86245539	-6.566538633	22.12012175	-1.000328717	-4.852253648
AGAP000140	X	-62.67259744	-100.4878904	-40.35792953	69.09506428	-4.016211492	20.33516504	-1.455884641	-3.925703511
AGAP000141	X	-59.3466415	-126.3035633	-62.27223094	81.26486706	-7.409485468	24.3816973	-1.420842057	-5.328569642
AGAP000142	X	-63.75507914	-101.8682892	-41.07866349	71.71838721	-4.045628716	21.12387773	-1.429998911	-4.236374003
AGAP000143	X	-58.03126882	-100.6107796	-43.94995	73.03003342	-4.118941434	21.10499498	-1.267700441	-3.889961348
AGAP000144	X	-54.78202854	-95.4350684	-44.16266948	70.42052159	-4.07307892	20.69523136	-1.003461041	-3.792157041
AGAP000145	X	2.674104449	-12.30044413	-1.677063549	6.30894582	-0.745463383	2.869058944	0.13293772	0.001738276
AGAP000146	X	-67.24326529	-93.50583061	-33.13331931	69.43701157	-1.948207424	20.4038179	-1.753247758	-3.704389867
AGAP000147	X	-62.39953071	-101.5860768	-40.86456533	70.29498301	-4.135298263	20.93319587	-1.385814859	-4.200428457
AGAP000149	X	-38.77214245	-90.50495007	-51.99917359	51.78472195	-6.562221312	17.37756183	-0.810610926	-4.019379285
AGAP000150	X	-39.10208667	-87.35549342	-50.42494192	48.95611841	-5.9759068	16.14725268	0.151002293	0.039214402
AGAP000151	X	-51.05660805	-80.95138417	-35.56507053	57.77730365	-3.583982925	16.45334562	0.129604423	-0.43097399
AGAP000152	X	-43.57104237	-94.78261107	-48.18841668	54.36332377	-5.717339082	17.51087889	0.089830061	-0.663328802
AGAP000153	X	-55.91920267	-121.6225025	-62.80088114	76.02116007	-7.261653934	22.99696754	-1.247879476	-5.057569662
AGAP000154	X	-54.27903114	-103.2763883	-47.90393815	70.20824802	-5.688998291	20.57677819	-0.964022045	-4.400035574
AGAP000155	X	-66.75250557	-93.86386459	-33.36855068	69.82136424	-2.155063346	20.31779715	-1.528438362	-3.668832374
AGAP000156	X	-35.84279175	-100.4648164	-53.64075425	62.71215563	-9.589717354	18.73656824	-0.418796231	-3.822429243
AGAP000158	X	-65.99899579	-35.49845904	33.61873908	19.46402071	-11.54127364	18.5452818	2.654776102	-0.415048603
AGAP000159	X	-31.31351378	-92.80788614	-55.85741079	56.92600525	-9.254122428	17.7653268	-0.404207733	-3.883029695
AGAP000161	X	-60.49435898	-112.1602084	-52.18632658	77.48115329	-5.674755613	22.85610749	-1.338502354	-4.816728727
AGAP000162	X	-42.88685485	-96.49744746	-51.27076524	62.04822478	-11.07585014	19.33917715	-0.409282382	-3.523597129
AGAP000163	X	27.87836938	-2.29730545	7.456089174	-3.442712219	1.783704324	1.428912181	0.280150006	0.30092214
AGAP000164	X	-71.3267203	-99.8094239	-33.28155819	74.48628107	-1.958072341	21.05441539	-1.562912899	-3.505759685
AGAP000165	X	-37.00609929	-1.585442996	22.08836573	0.9578452	3.883447113	-1.742208483	0.664739541	-0.142055901
AGAP000166	X	-28.06186523	-92.23301147	-52.72028153	50.50847038	-6.880585685	16.26666836	0.674898673	0.840424779
AGAP000167	X	-8.754234492	-85.85263305	-58.37583497	28.62603265	-7.62999407	11.83292457	0.02301124	1.508007126
AGAP000168	X	-53.40495148	-103.5153221	-48.09672905	69.48063014	-5.603533155	20.81681075	-1.130452654	-4.38031643
AGAP000169	X	-61.77968136	-122.0193294	-58.34375886	81.96963221	-6.934112908	24.46130955	-1.353585621	-5.404225795
AGAP000170	X	21.9644861	-46.84008123	-27.93204521	-5.594998218	-2.966953937	3.80467149	0.809102962	0.597823864
AGAP000171	X	-39.94289934	-104.043582	-52.4092867	64.68121753	-7.262459016	19.08038968	-0.772509115	-4.174406172
AGAP000172	X	23.1869502	-59.41213337	-42.97671872	-2.610158304	-5.830848599	12.86293208	-0.360427422	0.897126694
AGAP000173	X	-26.77264622	-85.04065647	-57.54883359	44.80648548	-5.205700638	15.47426936	-0.706081172	1.614793457
AGAP000175	X	-79.29182014	-68.85374217	-25.24850245	60.63907177	0.097658771	14.586724	-1.405428379	-1.594306295
AGAP000177	X	0.410946481	-1.923448582	6.28328172	-0.160083434	1.778532493	-1.173468369	0.551421155	-0.172745945
AGAP000179	X	29.34935223	-62.57227463	-38.82071771	-8.095251939	-8.709125141	11.80065657	0.140666958	1.425351194
AGAP000180	X	-32.05386191	-53.78829128	16.34772054	13.00708721	-4.717817698	4.365986445	1.103981196	0.430406289
AGAP000181	X	-67.32251303	-96.16786995	-32.86039482	71.635011	-2.218830576	20.92073232	-1.660063988	-3.834465921
AGAP000182	X	-62.13097241	-89.55849162	-35.87492597	67.7363963	-0.971680245	19.65604166	-1.798302871	-2.935687438
AGAP000183	X	-60.86133289	-95.70067521	-40.72337263	66.17331477	-4.190265595	19.52890938	-1.213491955	-3.757893596
AGAP000184	X	-23.26081068	-92.96003786	-45.15092058	51.40197459	-9.920761434	14.66089314	2.601936292	-1.373641487
AGAP000185	X	-55.96738687	-96.35194934	-43.59251866	71.13826949	-4.051304507	20.95008894	-1.172104207	-3.98158179
AGAP000187	X	-33.41287178	-112.8919159	-62.95811817	61.28850451	-8.305093928	19.33815011	-0.57973552	-4.537592455
AGAP000188	X	-13.40193386	2.541069875	-0.555969638	12.38380954	-2.441180076	-0.549318563	-0.451177883	-0.36354765
AGAP000189	X	-63.0509631	-122.6825529	-58.60451001	83.11056799	-6.844706395	24.70807011	-1.412705966	-5.46022769
AGAP000190	X	-65.55357329	30.32115071	-9.103214175	63.60030043	5.131733982	15.02522692	-2.028992803	-1.972776534
AGAP000191	X	-45.05980674	-85.86047057	-40.19645148	60.99116482	-4.109644283	17.28348442	-1.052656047	-3.149427046
AGAP000192	X	18.69235172	-88.09951173	-53.30413408	14.26115021	-11.48332232	10.82912143	1.022258187	1.258328466
AGAP000193	X	-48.91026246	-102.0448198	-50.50653017	66.99955482	-6.71470794	19.92950191	-0.96832271	-4.482139222
AGAP000194	X	-35.26402261	-108.3371772	-56.08275737	61.40073057	-7.259027094	19.1142877	-0.799162179	-4.171713263
AGAP000195	X	-40.05660824	-115.0335008	-61.23861143	65.89205876	-8.525811853	20.61966364	-0.860119418	-4.87804822
AGAP000196	X	-57.32855327	-113.3599205	-54.15895103	76.3401789	-6.282764792	22.94704611	-1.245841407	-5.030010442
AGAP000198	X	-65.13338746	-122.6027007	-58.13934847	84.6832787	-6.821879449	24.99395014	-1.450307411	-5.545766222
AGAP000199	X	-8.128081331	-82.10986797	-56.59587115	27.57579843	-5.666205571	11.79026164	-0.531469525	2.090184342
AGAP000200	X	-53.5077123	-107.8038563	-51.1412719	71.78284656	-6.156527701	21.40259851	-1.108219142	-4.643905365
AGAP000201	X	-64.75587563	-91.9820036	-34.73992422	72.24074482	-2.455981978	20.25038516	-1.241555421	-3.673958521
AGAP000202	X	-29.49495358	-14.60100659	22.71032826	17.63125202	7.5674062	0.958060805	1.113110899	0.202053107
AGAP000203	X	-47.11229566	-113.446884	-58.35598801	69.75567056	-9.430304022	21.21268941	-0.540662002	-4.764655143
AGAP000204	X	-37.99649667	-93.67256106	-53.39032797	53.33272429	-8.472128664	17.16476855	-0.528931462	-3.774712692
AGAP000205	X	-64.83752687	-119.9411134	-56.44011089	84.03073038	-6.326314579	24.49873726	-1.430867698	-5.399146678
AGAP000206	X	8.854273131	-44.16424125	-25.73281077	17.94888481	-7.054175241	4.261796053	-0.329971258	0.376419562
AGAP000207	X	56.57374968	-0.152461206	-55.84288775	-28.01971499	6.01109509	8.134406141	-0.498071083	-1.287591368
AGAP000208	X	-65.63611301	33.51139417	-6.841114472	63.95480448	5.798302019	14.97106009	-2.18164514	-1.816490783
AGAP000209	X	-62.54056419	-107.8400612	-48.130179	76.51774586	-5.226066841	22.21573921	-1.3317855	-4.695331351
AGAP000210	X	-73.38090292	32.7401491	-8.67146165	64.94322363	5.580050956	15.65730728	-2.117011356	-2.420077916
AGAP000211	X	44.85100525	8.992851772	13.73295625	-1.512638126	10.95797009	-6.999677179	1.661970155	0.785352254
AGAP000214	X	-49.36922867	22.86854878	-8.049114869	46.12412531	3.137536101	11.77420424	-1.968586769	-0.759907624
AGAP000215	X	-61.36020482	-85.15939167	-32.90267535	65.18954215	-2.279928336	19.2767879	-1.36412847	-2.937012719
AGAP000216	X	-43.66005485	-103.9535228	-48.92261671	63.00159712	-6.531935955	19.79993713	-0.762224769	-4.236047153
AGAP000217	X	-45.64930435	-110.8042788	-56.39612576	67.76938005	-7.979344797	21.10596725	-0.90583179	-4.682111734
AGAP000218	X	-71.27967625	-22.43658157	48.05030276	20.81081191	12.87336745	-3.867461596	2.723077124	-0.238808121
AGAP000219	X	-54.3416644	-98.83065719	-40.38835742	76.96208856	-3.219100195	22.47208245	-0.871386453	-3.991935806
AGAP000220	X	-38.06364509	-87.98042175	-50.56030289	49.68093231	-6.837317364	17.06115088	-0.601433828	-3.81538005
AGAP000222	X	-65.04345557	-124.7871205	-59.76273098	85.08627564	-7.16030508	25.23029466	-1.411578694	-5.696809136
AGAP000223	X	-69.37191016	-92.28018865	-27.19582547	69.38479127	-0.578169299	19.46470442	-1.866711333	-2.615595553
AGAP000225	X	-48.65584596	-112.020519	-55.80881192	69.75115508	-7.544447201	21.65829255	-0.964834261	-4.762165167
AGAP000226	X	-40.12915033	-105.2756537	-53.48119327	65.1400911	-8.305551248	19.5564818	-0.580821629	-4.009262081
AGAP000228	X	15.19321505	15.15677459	-22.48233827	28.04987737	-6.533611702	0.040265423	-0.978452379	0.402822616
AGAP000230	X	-11.59563298	-107.5784282	-67.85756873	47.90257175	12.47060966	-9.776114285	-1.091377157	2.702765081
AGAP000232	X	-61.54720901	-118.1221302	-54.91944558	82.37177206	-6.206334636	24.17942652	-1.324656261	-5.236577139
AGAP000233	X	-41.33224895	-113.0386736	-59.38161309	65.54508052	-8.079431781	20.53079409	-0.865276243	-4.690604293
AGAP000234	X	-3.788598637	-86.44205844	-54.97094211	28.4232189	-8.302789619	11.32525494	0.323319846	2.36180749
AGAP000235	X	-53.14285029	-80.79153906	-32.28556197	58.7467533	-3.190365802	16.83523819	-0.183459565	-0.505758326
AGAP000236	X	-49.76522271	-116.9505285	-58.75523566	73.11504589	-7.728024308	22.02222366	-1.071369792	-4.931175349
AGAP000237	X	12.81839417	-58.14511521	-30.76333397	-2.854149732	-3.979221365	4.829093406	0.480451541	0.783620525
AGAP000238	X	-50.90071048	-117.4936812	-59.98075959	72.94764734	-7.40213656	21.74720101	-1.079487858	-4.807434524
AGAP000239	X	-63.80527697	-73.68981254	-39.15862357	81.20967504	-2.76335899	23.29883364	2.786617031	-0.578418745
AGAP000240	X	-21.31648041	-77.81985205	-46.36337334	43.37011999	-4.484966954	14.55336678	-1.204736991	-2.819080184
AGAP000241	X	-57.41586613	-100.2714413	-44.08292836	72.42244844	-4.404979588	21.19916656	-1.069975028	-4.290834741
AGAP000242	X	-49.83636739	-95.70570733	-44.03572049	64.8833892	-5.505057862	18.63309076	-0.717672098	-3.416843916
AGAP000243	X	-38.9528301	-99.99793117	-50.35240771	59.52055832	-6.3241755	18.31316488	-0.722284559	-3.833960428
AGAP000244	X	-24.88630243	-108.6320212	-63.1928253	52.15081565	-7.639333561	17.15088105	-0.50199964	-4.326791545
AGAP000245	X	-50.42717612	-85.86706355	-36.25155676	60.77587789	-3.561300655	17.31534536	-0.421930429	-0.659387695
AGAP000246	X	-10.93650042	-23.66260151	2.970660609	15.51666393	-2.661350174	6.215453113	1.095074826	0.668024722
AGAP000247	X	-64.17232059	-94.26467404	-36.35513243	71.01312658	-2.87045435	20.62862772	-1.402235679	-3.732663756
AGAP000249	X	-30.26864365	-112.1667028	-63.23397056	58.68004677	-7.337280019	18.18400881	-0.911875444	-4.052958158
AGAP000250	X	-40.62137687	-99.56900848	-49.30415221	60.41085342	-6.208920431	18.61169321	-0.875407498	-3.858381083
AGAP000251	X	-26.64725161	-96.15256926	-55.89937835	53.41097697	-8.69916636	17.95282847	-0.603452867	-4.138073663
AGAP000252	X	-36.95615146	-112.3476208	-61.2839599	62.99401908	-8.51090984	19.56795106	-0.725020774	-4.713547598
AGAP000253	X	-69.63478851	-17.59260326	46.00357931	19.66928117	11.88399883	-0.892684054	3.150903029	-0.324980438
AGAP000254	X	-3.938194414	6.202035345	-14.02475329	15.32014227	-0.602109829	5.761465166	-0.25926539	0.025464104
AGAP000255	X	-38.7796267	-98.03081727	-49.55146054	57.73391713	-6.563404232	17.67106718	-0.714165217	-3.893871875
AGAP000256	X	-53.94819095	-111.7550162	-54.08951618	73.00461702	-6.86569802	22.08295935	-1.010689048	-4.848657389
AGAP000258	X	-14.65844359	23.59110692	-8.276213316	39.3560832	2.590594603	12.52595244	-1.575819805	-1.244922263
AGAP000260	X	5.38791303	-33.58189693	-18.0542177	11.07219739	-3.074532176	3.507642566	0.02826709	-0.005614273
AGAP000261	X	-17.75227779	-63.09647703	-38.00676744	47.47248791	-3.841982547	14.01650151	-1.204589644	-0.17360325
AGAP000262	X	-66.03206299	-100.274872	-38.63110802	72.59040948	-3.322157449	20.82946562	-1.458728987	-3.921796158
AGAP000264	X	-62.05426567	-98.97353698	-42.5919337	67.29099198	-4.529397653	19.85801038	-1.334577272	-3.878233007
AGAP000266	X	-7.311693053	14.41191557	-2.886443877	35.1021249	0.357608483	2.823072558	-0.069832365	-0.095547039
AGAP000267	X	-81.10481073	33.89722525	7.256410363	68.95443175	9.126393591	13.22592666	-1.891813192	-2.66876777
AGAP000268	X	-35.53693488	-9.60417166	6.939829754	35.05267875	5.173752088	7.883250981	0.024639552	-0.702528202
AGAP000269	X	8.081397064	-87.12351705	-46.23488169	33.61355597	-8.655648727	14.8428705	-0.112224988	-3.618237427
AGAP000270	X	-34.7815966	-97.7266654	-43.22028537	61.32488732	-8.915196157	18.47418564	-0.407673368	-3.080456777
AGAP000271	X	-49.86396146	-115.7822421	-57.50779952	74.67507419	-7.391699145	22.54273558	-1.123271077	-5.013498513
