gene_name	chro	tsne1	tsne2	fst-general	fst-2l	fst-2r	fst-east-central_	fst-east_west	fst-east-west_ctral	fst-m_s	fst-sex	fst-west-central	snp	chro2	chro3	non	syn	snp2	aom	bfm	bfs	cms	gas	gns	gwa	kes	ugs	fst_avr	tsne_p50_1	tsne_p50_2	gene_start	gene_end	nature	nature2	inv2r	inv2r2
AGAP000017	X	0.966021627	9.078149689	0.089831696	0.010644214	0.007146432	0.034675002	0.030684941	0.03399307	0.057018156	0.005265408	0.010878405	1045	X	X	364	728	1092	0.143935209	0.050412845	0.002928467	0.006524975	0.164924662	0.002608668	0.032125319	0.096569228	0.01523967	0.057252116	-123.892859	-17.92189519	212901	233685	1	geo	0	0
AGAP000018	X	-1.242240152	7.780902545	0.071351847	0.008523052	0.018464531	0.041024123	0.043132237	0.055139101	0.035718507	0.009081978	0.007381011	327	X	X	49	294	343	0.128331628	0.032166348	0.010034684	0.012125723	0.042638836	0.003313574	0.04940254	0.126861948	0.01550459	0.046708874	-105.9870903	-43.5054031	245976	251810	1	geo	0	0
AGAP000019	X	1.030726862	8.847504954	0.094274442	0.014048779	0.009224976	0.030121964	0.02216207	0.020992094	0.041349023	0.004549064	0.016587167	620	X	X	197	470	667	0.159890514	0.020992	0.003856671	0.00822615	0.174642482	0.007130023	0.052807743	0.10948244	0.01001606	0.060782676	-127.9607249	-20.42084457	259828	288873	1	geo	0	0
AGAP000020	X	0.005062455	9.688579859	0.077888304	0.011475759	0.010549043	0.031050272	0.029211486	0.034086502	0.033038823	0.009961175	0.012535975	1103	X	X	602	578	1180	0.092363888	0.018320194	0.007180665	0.007579879	0.151327055	0.001007373	0.041823755	0.139826216	0.007236023	0.051851672	-134.1625529	-29.57557884	290994	299270	1	geo	0	0
AGAP000021	X	2.449542594	3.166480984	0.146953699	0.017713727	0.009134537	0.101351248	0.096651617	0.094656103	0.024861759	0.012145156	0.013137255	65	X	X	22	46	68	0.03846094	0.013882735	0.003228015	0.011909335	0.359407843	0.000939021	0.022171138	0.277024472	0.025302911	0.083591823	-56.91352412	17.40163913	314467	315701	1	geo	0	0
AGAP000022	X	2.568429648	6.490726947	0.123765243	0.014443708	0.005685206	0.05430986	0.047398542	0.04188588	0.020446698	0.007185452	0.012031924	291	X	X	112	198	310	0.05393869	0.013769231	0.001873404	0.010232791	0.351109615	0.010637444	0.019927292	0.165891622	0.016393637	0.071530414	-103.8730483	-6.987960542	309046	313230	1	geo	0	0
AGAP000023	X	0.113122633	6.270646695	0.078876573	0.012768035	0.011852584	0.005978724	0.005620145	0.016705389	0.046515562	0.011769028	0.016423536	159	X	X	37	132	169	0.183095693	0.016990834	0.008859011	0.008390125	0.134642648	0.003899029	0.02065557	0.062257023	0.00438052	0.049241161	-90.17334079	-28.19100364	320064	323468	1	geo	0	0
AGAP000025	X	-0.568727169	8.129695969	0.072957591	0.007204152	0.010623799	0.01799644	0.016966024	0.019449348	0.054597896	0.002925498	0.006903746	609	X	X	373	287	660	0.167367776	0.019086656	0.0090079	0.0067179	0.083564006	0.003967477	0.010305771	0.09522976	0.019903821	0.046127896	-128.2320098	-43.99755153	331475	336252	1	geo	0	0
AGAP000028	X	1.923777603	3.362014317	0.096623794	0.017277021	0.008548355	0.04142181	0.032270389	0.021747318	0.066731582	0.011107246	0.010316516	92	X	X	3	93	96	0.243218208	0.003077069	0.001717819	0.00749483	0.117101218	-0.001505941	0.003654825	0.142935516	0.01162327	0.058812979	-95.0592089	-16.2133622	357391	364560	1	geo	0	0
AGAP000029	X	0.007332079	9.589823569	0.074646465	0.005848789	0.009428389	0.033100054	0.032941592	0.035563992	0.036738577	0.008357503	0.004929748	2073	X	X	720	1590	2310	0.125744284	0.009779114	0.006656389	0.0083426	0.10690018	0.004313689	0.01049246	0.164831118	0.007045658	0.049345055	-129.1448479	-29.6208799	379162	393442	1	geo	0	0
AGAP000032	X	0.30834394	9.372386339	0.061508964	0.007653481	0.00412418	0.021973759	0.020518313	0.023861758	0.02839158	0.004695124	0.007715656	994	X	X	386	737	1123	0.089453119	0.007198777	0.002480856	0.004156001	0.125101517	0.00249866	0.017136509	0.123740855	0.004177236	0.041771503	-130.3237534	-24.81475954	408841	425073	1	geo	0	0
AGAP000033	X	-0.450741087	7.365751095	0.048301139	0.003301376	0.005303445	0.025225241	0.026186563	0.03065923	0.012173844	0.005517511	0.00397661	712	X	X	182	632	814	0.042553992	0.004964098	0.002993812	0.004960277	0.044914	0.005365992	0.009415893	0.189523924	0.001295918	0.033998656	-89.49568683	-31.05756993	432496	439671	1	geo	0	0
AGAP000035	X	-0.169358981	9.759657712	0.046291701	0.005463116	0.006763153	0.016037873	0.015047188	0.017327166	0.015034322	0.007847394	0.006151595	2330	X	X	1320	1381	2701	0.061059601	0.007273147	0.004568341	0.0085124	0.074291262	0.005770987	0.007818252	0.11352266	0.003294077	0.031790081	-134.5254751	-33.22671604	444812	452835	1	geo	0	0
AGAP000037	X	-0.114822996	9.219367228	0.078295369	0.008653335	0.008099995	0.02924818	0.02373665	0.02178671	0.068797496	0.005326476	0.008727805	1251	X	X	247	1172	1419	0.224136985	0.008163274	0.004875146	0.004417196	0.054077073	0.005111353	0.004105317	0.130398585	0.004854224	0.04890435	-127.4373301	-32.14124092	461137	472416	1	geo	0	0
AGAP000038	X	-0.439238048	7.330048915	0.046661207	0.002952695	0.006351554	0.006903126	0.005430133	0.004215239	0.033278783	0.006202306	0.001783373	215	X	X	19	219	238	0.110440722	0.000263708	0.001609066	0.004233451	0.069925709	0.001399433	0.001345403	0.088253182	0.004433103	0.031322642	-103.3476454	-30.81250651	481140	483518	1	geo	0	0
AGAP000039	X	2.444206703	2.370820241	0.025059905	0.004020733	0.005234274	0.012038821	0.01136987	0.013517905	0.005622857	0.002381907	0.003400415	247	X	X	21	259	280	0.022291857	0.005388307	0.002474238	0.002315449	0.046678357	0.001025876	0.004056788	0.07608411	0.002354899	0.018074431	-49.06602262	-18.17936929	494371	496532	1	geo	0	0
AGAP000040	X	-0.604040948	7.004761104	0.031039682	0.00392334	0.005648236	0.006461237	0.005937749	0.007311282	0.029218652	0.008663374	0.002531361	372	X	X	112	319	431	0.102535367	0.003790218	0.0040709	0.003462358	0.016182445	0.002672826	0.006221239	0.042771589	0.002696825	0.020489308	-114.0347156	-49.59326112	503319	510089	1	geo	0	0
AGAP000041	X	0.614207097	7.658717252	0.045894672	0.003308171	0.004576409	0.021294554	0.020495395	0.021281615	0.021146047	0.004165946	0.002801663	362	X	X	112	291	403	0.089039695	0.00595283	0.004198216	0.003957457	0.037797611	0.002353529	0.004488479	0.131736984	0.005113801	0.031626511	-93.39411004	-24.32229749	512138	517675	1	geo	0	0
AGAP000042	X	0.041024846	9.736345555	0.059550641	0.008053498	0.006361015	0.023539113	0.01956281	0.017585678	0.037345694	0.007845099	0.006249745	1528	X	X	859	944	1803	0.135072234	0.005752865	0.004229396	0.005218318	0.071921883	0.001553275	0.009265489	0.121192253	0.00316998	0.03970841	-136.5562164	-32.11266576	528363	534266	1	geo	0	0
AGAP000043	X	-0.883889531	7.905502762	0.035724254	0.009897969	0.004289194	0.016432199	0.010908044	0.006199518	0.01703902	0.00254992	0.00653145	600	X	X	199	451	650	0.070399403	0.006273933	0.00310523	0.002942678	0.046417244	0.000286541	0.006916247	0.085287147	0.002580029	0.02491205	-111.4127527	-42.26110532	610531	615856	1	geo	0	0
AGAP000044	X	-5.79E-05	6.994583902	0.081491631	0.013903116	0.006945685	0.023260112	0.018280459	0.017429713	0.044108957	0.007651787	0.013012927	286	X	X	142	189	331	0.215508217	0.011196455	0.003878127	0.00656693	0.088492318	0.007000475	0.006687375	0.11977162	0.002493045	0.051288285	-101.5745227	-24.0870504	626266	628342	1	geo	0	0
AGAP000045	X	-0.172799718	8.017414233	0.030396947	0.001872455	0.002968883	0.017356894	0.016072834	0.015942288	0.014768683	0.00352136	0.001815013	302	X	X	82	260	342	0.05349267	0.000184096	0.003085339	0.00344281	0.040105289	0.000821879	0.007111983	0.082360182	0.002889282	0.021499281	-113.8507896	-31.99569597	696886	735718	1	geo	0	0
AGAP000046	X	-0.022257897	8.778547039	0.047179558	0.00509081	0.004455115	0.019005243	0.020153374	0.028409271	0.013038321	0.004852958	0.007238188	586	X	X	337	351	688	0.058084345	0.022599154	0.003090737	0.007883529	0.040949624	0.002025386	0.010078181	0.145773869	0.002124625	0.032512161	-121.2885037	-27.206937	740684	744542	1	geo	0	0
AGAP000047	X	0.012265465	7.281232641	0.035655573	0.003447049	0.000870646	0.007587936	0.00515507	0.004004556	0.017444598	0.002988991	0.003849719	250	X	X	91	197	288	0.062318904	0.00919994	0.001921694	0.007643305	0.052146559	0.005934967	0.007214851	0.07130797	0.002216514	0.024433856	-102.6669105	-28.9588414	752557	754633	1	geo	0	0
AGAP000048	X	-0.082032535	9.678773937	0.049755462	0.00525662	0.005921169	0.018802425	0.017752294	0.019104386	0.019748641	0.005074739	0.00506496	1680	X	X	980	1033	2013	0.066453755	0.005315601	0.003055508	0.005612619	0.089368455	0.004252462	0.004316565	0.127096122	0.003422228	0.034321479	-135.305299	-30.77781405	779762	787862	1	geo	0	0
AGAP000049	X	-0.812792793	7.800791288	0.024193511	0.001805158	0.00799011	0.017490748	0.014261308	0.012321666	0.009573398	0.010178265	0.002681339	346	X	X	97	288	385	0.033523182	0.007147621	0.007768075	0.007524513	0.025155915	0.002628745	0.005032633	0.047478127	0.006996704	0.01591728	-117.3063349	-45.09223748	803396	810496	1	geo	0	0
AGAP000051	X	-1.375835957	6.702131234	0.035492551	0.004546018	0.007122597	0.012804761	0.01101805	0.010016826	0.018584372	0.007146113	0.002587577	375	X	X	21	407	428	0.075782854	0.002500182	0.003536037	0.003276483	0.028073487	0.001021716	0.006513407	0.104270884	0.000232275	0.025023036	-110.8808497	-55.49724897	838200	841171	1	geo	0	0
AGAP000053	X	1.180980572	6.340235997	0.019825541	0.00147428	0.000572128	0.006629638	0.006458142	0.008598374	0.00450609	0.002443884	0.002673151	391	X	X	223	250	473	0.019910903	0.004518245	-0.000654493	0.00377554	0.030697093	0.001878292	0.005581406	0.063339784	0.000823111	0.014429987	-100.0198522	-26.76505294	842664	844158	1	geo	0	0
AGAP000054	X	0.48209144	8.956460401	0.052440582	0.008634725	0.006171452	0.016117337	0.01437924	0.017529492	0.034472516	0.005449392	0.008360236	991	X	X	307	794	1101	0.124617672	0.005464267	0.008554078	0.003232074	0.0651175	-0.000240031	0.011413853	0.094670659	0.00298917	0.035091027	-128.7860057	-21.64792922	850501	891167	1	geo	0	0
AGAP000055	X	-0.164370551	8.778970674	0.059102612	0.005885671	0.002639527	0.021173804	0.020622528	0.022832443	0.031994217	0.002804303	0.004663649	540	X	X	308	311	619	0.136210446	0.007860778	0.002024008	0.001884078	0.038876228	-0.001966525	0.002722768	0.161449431	0.006330369	0.039487953	-125.8013525	-35.81533654	894175	898770	1	geo	0	0
AGAP000056	X	-0.741880191	6.611016459	0.050616467	0.004620375	0.007949369	0.020745095	0.020499901	0.022878945	0.013298995	0.002204359	0.005232257	330	X	X	95	281	376	0.080623519	0.003679002	0.004467016	0.006559745	0.04103141	0.007195487	0.006647523	0.164579323	0.00132169	0.035122746	-98.27091355	-33.5946365	900563	904069	1	geo	0	0
AGAP000057	X	0.056606118	8.32782774	0.065712776	0.010054967	0.004942715	0.025641636	0.022340318	0.021862138	0.012832238	0.020046928	0.009151319	292	X	X	82	248	330	0.03837797	0.004975128	0.002496619	0.002431074	0.179796763	0.003780212	0.006166142	0.155577482	0.002504019	0.044011712	-117.151745	-27.70138652	921077	922938	1	geo	0	0
AGAP000058	X	0.251012374	9.634077937	0.043256821	0.003948143	0.003286125	0.014204834	0.010950079	0.00881606	0.007478681	0.009148342	0.004768386	1655	X	X	580	1290	1870	0.031862126	0.003299765	0.002210072	0.004678813	0.124409348	0.000109559	0.00964283	0.083974518	0.004145927	0.029370329	-133.4223845	-26.06194494	932591	947534	1	geo	0	0
AGAP000061	X	0.676786269	6.924775832	0.034160138	0.009165446	0.005915315	0.021128579	0.015508803	0.009791177	0.014752442	0.00310967	0.005527669	247	X	X	70	199	269	0.05461521	0.000950817	0.004585292	0.00277152	0.078984195	-0.003689717	0.009693907	0.048216254	0.009281423	0.022823211	-97.51651163	-20.27415068	954969	961877	1	geo	0	0
AGAP000062	X	-0.971383598	7.72205396	0.033728541	0.000417227	0.00454095	0.015050523	0.014633998	0.016328414	0.01402574	0.00690515	0.002633701	380	X	X	140	285	425	0.048900026	0.007643863	-0.000125559	0.002635545	0.03950559	0.005113081	0.008626663	0.10456621	0.002656153	0.024391286	-109.214844	-49.1727925	965551	978390	1	geo	0	0
AGAP000063	X	-0.570075269	7.708421265	0.032176086	0.006447183	0.001360587	0.000493436	0.001699177	0.010402367	0.008822671	0.004908727	0.009586305	312	X	X	117	234	351	0.073796207	0.016949179	0.000323869	0.002212264	0.028292194	-0.000239852	0.022226269	0.052850872	0.003608997	0.022224444	-114.1350799	-42.49696139	980089	983261	1	geo	0	0
AGAP000064	X	-0.915208218	8.783089374	0.056799626	0.006256558	0.005526222	0.025085238	0.021381502	0.018575904	0.016438451	0.005674582	0.006631281	897	X	X	50	942	992	0.072737509	0.00596904	0.002070772	0.004479238	0.062674035	0.003887077	0.00513777	0.191207544	0.00420409	0.039151897	-121.2601307	-32.71221541	986837	1000922	1	geo	0	0
AGAP000065	X	-0.196444842	9.374172753	0.042997177	0.003414535	0.004087181	0.016923873	0.016374836	0.018440395	0.012817659	0.004535557	0.004698539	1289	X	X	507	956	1463	0.05932586	0.006006355	0.002753993	0.003360714	0.057464962	0.000808382	0.006394122	0.132955226	0.003197351	0.030251885	-127.6031391	-37.51335438	1013491	1025167	1	geo	0	0
AGAP000066	X	0.557954657	8.260826118	0.066528507	0.003610505	0.004778677	0.035224539	0.035213309	0.037540887	0.013460561	0.008930014	0.00512508	438	X	X	169	327	496	0.049559812	0.015359308	0.001622636	0.004749483	0.098707717	0.001540822	0.006911502	0.22555356	0.001784418	0.045087695	-112.694626	-21.13191768	1026072	1029625	1	geo	0	0
AGAP000067	X	-1.038973489	3.102833151	0.017379459	-9.99E-05	0.002909615	0.003360404	0.005070478	0.009950578	0.006158862	0.016150785	0.003074912	151	X	X	29	141	170	0.018930853	0.004787361	0.001197551	0.001585535	0.040120147	-0.003842576	0.019917509	0.028077955	0.000617745	0.012376898	9.455612143	-28.60303797	1035905	1037155	1	geo	0	0
AGAP000068	X	-3.464216279	1.297826913	0.054403386	0.002234453	0.003365773	0.020624989	0.021351964	0.02168371	0.00497384	0.007498873	0.001412402	125	X	X	48	90	138	0.039733489	0.015351611	0.004263225	0.003400834	0.056557436	0.00022834	-0.000906311	0.214033931	0.002639765	0.037255813	-93.62129292	-14.46828379	1048365	1059174	1	geo	0	0
AGAP000069	X	1.619543626	6.376175537	0.060440431	0.003659115	0.005512393	0.013208706	0.013568802	0.016203823	0.038403587	0.003147431	0.003107617	145	X	X	42	123	165	0.082153353	0.012187978	-0.000138338	0.003710616	0.129426364	-0.003284348	-0.000971468	0.140470385	0.002043461	0.040622	-97.14667018	-12.97057341	1060754	1062050	1	geo	0	0
AGAP000070	X	3.216996363	5.740038756	0.088713135	0.012969329	0.015544949	0.020935028	0.020211596	0.02722623	0.016572913	0.00690672	0.01331773	425	X	X	88	380	468	0.077699584	0.011949719	0.008783307	0.014549178	0.184394283	0.009903321	0.014560535	0.19332989	0.002684806	0.057539402	-95.53795655	7.405025797	1099948	1104999	1	geo	0	0
AGAP000071	X	1.916245349	6.570182371	0.073464204	0.014296974	0.012094082	0.028507296	0.019722194	0.015625033	0.033399851	0.005406636	0.017640803	135	X	X	91	63	154	0.027760695	0.041676452	0.008277962	0.015449144	0.181591621	0.00339826	0.025726535	0.112687579	0.005498665	0.046896324	-98.58831447	-8.783257147	1113633	1115173	1	geo	0	0
AGAP000072	X	-0.005774561	-0.850936577	0.053741115	0.018581671	0.012315339	0.02691705	0.017309168	0.010809094	0.016762612	0.009303878	0.016108538	214	X	X	133	103	236	0.087960772	0.007498181	0.005246988	0.002492997	0.081814869	0.007995591	0.005570776	0.133616509	0.003708435	0.037322791	37.92394379	10.21507942	1120489	1121931	1	geo	0	0
AGAP000073	X	1.29085018	6.931610656	0.057171544	0.002308712	0.00063949	0.008642808	0.005499006	0.00248378	0.028049325	0.008341882	0.003439687	161	X	X	46	138	184	0.143154582	0.003169413	0.000770478	0.003685814	0.122350995	0.002441301	0.00761091	0.042545372	0.003120954	0.036538869	-93.38039666	-19.09858929	1160877	1165193	1	geo	0	0
AGAP000074	X	-0.07594179	8.856907979	0.048008412	0.004727524	0.007353898	0.01578069	0.014322875	0.016766828	0.017178002	0.007282104	0.008144575	480	X	X	165	384	549	0.071538739	0.015270793	0.003495495	0.006092189	0.044038775	0.009813922	0.022419859	0.128450025	0.003000853	0.033791183	-121.9252975	-28.79700403	1207398	1210353	1	geo	0	0
AGAP000075	X	0.002907348	8.703981651	0.03331522	0.004969982	0.003007889	0.009389624	0.006858737	0.007045317	0.007696815	0.002545762	0.006533382	437	X	X	139	363	502	0.051700801	0.01530534	0.002717094	0.002484214	0.027550779	0.003837706	0.017298453	0.088293513	0.004573853	0.023751306	-125.0983404	-31.82182148	1247090	1251709	1	geo	0	0
AGAP000076	X	-0.692675232	8.23811675	0.039272818	0.003269386	0.004932251	0.014114936	0.012925036	0.01473404	0.014690528	0.005263256	0.005332819	849	X	X	255	722	977	0.039323444	0.008593518	0.002907556	0.005427712	0.058870082	0.001980088	0.006058147	0.121736622	0.00328879	0.027576218	-116.9465003	-39.74517786	1254630	1261036	1	geo	0	0
AGAP000078	X	0.708531792	5.869267424	0.038466586	0.005459002	0.001791904	0.02398352	0.016059389	0.009121091	0.010588819	0.009718704	0.008513834	245	X	X	78	199	277	0.042779427	0.009359879	0.002798301	0.001534468	0.081128096	-0.004020726	0.010465912	0.098996362	0.001167473	0.027134355	-86.0295695	-21.51324404	1264727	1266777	1	geo	0	0
AGAP000079	X	0.197570684	0.905111198	0.014867051	0.00155878	0.003358164	0.002709535	0.004007587	0.009527727	0.011617862	0.004039002	0.004701584	144	X	X	14	144	158	0.042200178	0.007566439	0.00145732	0.002069103	0.021333547	-0.000341103	0.006185244	-0.000932874	0.004780648	0.009368722	11.14578673	-1.856011245	1269003	1270433	1	geo	0	0
AGAP000080	X	1.179923054	6.82938095	0.040309669	0.002623516	0.00311267	0.019861074	0.017168989	0.014695463	0.014848013	0.008307242	0.003276598	449	X	X	178	322	500	0.055323807	0.007602845	0.003026531	0.004514095	0.060840429	-0.000498314	0.005480396	0.116793101	0.001018698	0.02823351	-93.64407198	-19.88364478	1283016	1373662	1	geo	0	0
AGAP000081	X	0.81635222	7.106307458	0.071312676	0.011266072	0.006690355	0.012774738	0.008328909	0.005354973	0.061996045	0.009563345	0.006342934	491	X	X	201	365	566	0.223226244	0.002170068	0.005161115	0.002663253	0.090072385	-0.001727232	0.008918898	0.053397203	0.004548476	0.043158934	-99.07472773	-20.72198426	1418615	1421698	1	geo	0	0
AGAP000082	X	-0.064931285	8.609181473	0.067917736	0.005548519	0.012132594	0.060061393	0.056624451	0.055980503	0.015933432	0.0174831	0.004402171	455	X	X	171	339	510	0.049127057	0.004160388	0.004254731	0.01008115	0.049227206	0.005136308	0.006605734	0.267021339	0.005678864	0.044588086	-120.8879262	-27.06109716	1423897	1426509	1	geo	0	0
AGAP000083	X	2.435368791	2.743681329	0.02773851	0.005548244	0.004171631	0.006050747	0.002032099	0.000224029	0.003053232	0.008407155	0.004650074	82	X	X	19	65	84	0.001010789	0.002910389	0.00540941	0.001255094	0.139032964	0.003958073	0.005288803	-0.003083994	0.001445344	0.017469652	-59.9545577	3.996072072	1428544	1429315	1	geo	0	0
AGAP000084	X	0.552069968	5.61580036	0.039878911	-0.000199052	0.000712029	0.010135904	0.011361754	0.013502448	0.004366127	0.001609129	-0.000765589	42	X	X	34	15	49	0.025909624	-0.002671964	0.000356004	-0.000839754	0.075786917	-0.004080242	0.009426855	0.154057445	0.002108365	0.028894806	-90.92732167	-22.5954311	1430005	1432624	1	geo	0	0
AGAP000085	X	-1.596032811	3.125996914	0.062795611	0.004938329	0.008340895	0.048070755	0.05099046	0.059556546	0.014878854	0.001755973	0.006507554	140	X	X	48	106	154	0.058929267	0.010275576	0.001959986	0.009631204	0.034893248	-0.001261968	0.028859694	0.234909341	0.002437117	0.042292607	-79.6483569	-30.26885625	1433119	1435719	1	geo	0	0
AGAP000086	X	-0.878757168	3.412109971	0.016083924	0.001797523	0.000850628	0.014358254	0.012656746	0.010596413	0.00594339	0.003001485	0.001648858	139	X	X	72	83	155	0.028136914	3.35E-05	0.00122798	-0.000394097	0.010933598	0.005158607	0.001461776	0.065842795	0.000216132	0.01251302	-89.01874477	-24.75097247	1448592	1478833	1	geo	0	0
AGAP000090	X	0.818536657	8.401576436	0.054365006	0.004782012	0.004096446	0.034924631	0.030798907	0.02704118	0.010356833	0.003092642	0.004456982	981	X	X	343	773	1116	0.035513735	0.0065078	0.000383982	0.004809447	0.087743199	0.001147402	0.002708466	0.197409624	0.001604467	0.037536458	-119.149477	-15.03036516	1521813	1527249	1	geo	0	0
AGAP000091	X	-3.624084998	0.959942503	0.055396954	0.000940703	0.006660843	0.042876056	0.044211244	0.042015545	0.008165338	0.006543711	0.001854476	223	X	X	81	176	257	0.009878496	0.006067977	0.004167463	0.006272227	0.002886192	-8.74E-05	0.013878176	0.281562708	0.001221531	0.036205259	-37.71231696	40.34357141	1532552	1534866	1	geo	0	0
AGAP000092	X	-0.032125923	7.159421183	0.02012795	0.000589421	0.008295657	0.007686903	0.005187916	0.00271924	0.011298739	0.005457995	0.001959707	159	X	X	54	129	183	0.033454905	0.003827794	0.003198344	0.002687197	0.040783158	0.001159185	0.000320451	0.042579698	-0.00050553	0.014167245	-100.3698774	-33.90897345	1537681	1539215	1	geo	0	0
AGAP000093	X	1.57608743	6.638536378	0.048880522	0.005627979	0.005606384	0.019436383	0.019665857	0.021772738	0.011480183	0.013119742	0.00317332	322	X	X	202	176	378	0.059542986	0.007405483	0.002650361	0.005792676	0.05505926	0.004321424	0.007542849	0.155707678	0.007006078	0.033892088	-99.42455628	-11.09128851	1541991	1543412	1	geo	0	0
AGAP000094	X	-0.355088281	3.048692886	0.018263257	0.001909391	0.002060701	0.007509346	0.007306192	0.00833681	0.002587427	0.003430796	0.001433193	275	X	X	162	154	316	0.013385104	0.001943269	0.000675677	0.003579018	0.026252736	0.002238315	0.004101265	0.067363732	0.001296274	0.013426154	-16.45708171	-9.278066266	1548088	1549242	1	geo	0	0
AGAP000095	X	0.845711732	7.493990422	0.050874506	0.008971145	0.007073459	0.020062248	0.016562528	0.017451178	0.017097198	0.002800965	0.007228563	567	X	X	140	500	640	0.109339479	0.011653939	0.003880606	0.004703217	0.060288822	0.014904906	0.004354067	0.10127738	0.003632039	0.034892717	-107.9984321	-17.56737721	1550317	1558031	1	geo	0	0
AGAP000096	X	2.690331379	-0.77122692	0.054090627	0.008400826	0.000542968	0.019219521	0.010583333	0.001449676	0.031244383	-0.000861415	0.009458078	62	X	X	31	37	68	0.18521754	0.010629728	0.00029959	0.001094352	0.057052088	-0.002741146	0.005753293	0.044040276	0.001465147	0.033645652	32.87611259	-39.00744954	1565449	1566851	1	geo	0	0
