gene_name	chro2	tsne1	tsne2	tsne1_S	tsne2_S
AGAP000235	X	0.31119915	1.964769995	2.876503457	0.250690947
AGAP000236	X	-0.342666563	8.807718314	9.138468064	0.937038486
AGAP000237	X	-1.172221367	1.318513483	0.493716757	-1.257636924
AGAP000238	X	-0.256676124	8.602145436	8.95826063	0.909581738
AGAP000239	X	-5.492928441	-0.005211824	-1.438018195	4.476451404
AGAP000240	X	0.785178697	5.39335968	5.544243917	-0.560396049
AGAP000241	X	0.332429013	8.081859645	8.272748502	1.351705226
AGAP000242	X	-0.18269059	7.107540349	6.722101293	0.813743388
AGAP000243	X	-0.020520498	6.704121241	7.306294105	-0.588602907
AGAP000244	X	-1.081750625	6.992564545	8.214867154	-0.228296784
AGAP000245	X	0.796891103	4.747864636	4.803458747	0.264552448
AGAP000246	X	-1.054351108	1.825486587	-1.43378981	0.022795416
AGAP000247	X	1.194301532	7.608458692	7.300269773	1.824345046
AGAP000249	X	-0.402968536	6.953384852	7.39762434	0.424625186
AGAP000251	X	-0.70397343	7.402792107	7.891782236	0.687708306
AGAP000252	X	-0.978825166	7.969859616	8.677827837	0.005433741
AGAP000253	X	-5.810574438	0.085534599	-1.412528317	4.466734716
AGAP000254	X	0.521260513	0.864612534	1.275468354	-0.836192563
AGAP000255	X	-0.502326645	7.076565938	7.845785547	0.215644165
AGAP000256	X	-0.407778581	8.79364085	8.806566112	1.038274007
AGAP000258	X	2.391647156	3.622485196	4.024358051	0.883804134
AGAP000260	X	-0.243065062	1.079668463	0.944499074	-0.323305971
AGAP000261	X	1.148191064	3.81662906	2.414329827	-0.657665636
AGAP000262	X	1.106100328	7.710026553	7.873387488	1.771036347
AGAP000264	X	0.744569759	7.401909853	6.89712933	1.013390586
AGAP000266	X	0.050988802	0.330974858	0.534132458	0.169312101
AGAP000267	X	3.156510451	5.97721647	4.371198428	3.553777516
AGAP000268	X	-1.577240662	1.268213267	1.181643777	1.546375455
AGAP000269	X	-1.563378606	6.285897244	6.461581575	-0.998014696
AGAP000270	X	-0.464534221	6.90368247	6.08147417	0.503249104
AGAP000271	X	-0.237200664	8.973868	9.268879771	1.247633089
AGAP000272	X	-3.78565326	-0.997958002	-0.155731011	4.13788723
AGAP000273	X	-0.308840498	9.100660947	9.407620468	0.920058377
AGAP000274	X	-4.788573699	0.008044938	-0.179852206	2.764523102
AGAP000275	X	-1.914980307	4.392529681	1.197868566	-2.790117392
AGAP000277	X	3.253257679	4.894328792	4.093212965	2.632954211
AGAP000278	X	-0.805678082	0.9398209	0.911098758	-0.758563564
AGAP000279	X	-5.247546004	0.289961803	-1.104341201	3.408512984
AGAP000280	X	0.63556559	7.938615251	7.519895706	1.98913571
AGAP000281	X	2.739267949	5.290161049	4.863993832	1.861845921
AGAP000283	X	-1.702227464	-0.906663144	1.60755366	2.69587182
AGAP000284	X	0.20496932	6.499952899	6.663304952	-0.213072719
AGAP000285	X	-0.750279943	2.230536207	0.781515191	-3.049310272
AGAP000286	X	-0.414308662	8.614294176	8.887461199	0.384425488
AGAP000287	X	-4.148960406	1.15941045	-1.805248641	2.078969861
AGAP000288	X	-1.721166016	1.781047725	-1.172610398	0.290797782
AGAP000289	X	0.552346683	7.056636629	7.164461417	3.040767749
AGAP000290	X	-0.08173014	8.321227977	8.146087242	1.469254976
AGAP000292	X	-0.128567951	8.268164705	9.027776788	0.725319188
AGAP000293	X	1.252492047	7.24851986	6.02242629	0.698370776
AGAP000294	X	2.333554375	6.619824171	6.260011724	2.028191434
AGAP000295	X	0.046400399	6.458926758	6.822358841	0.484384263
AGAP000296	X	0.979014618	6.627787137	6.475889567	0.535804853
AGAP000298	X	-2.620644759	1.745113216	-1.082527427	0.209989371
AGAP000299	X	-2.297734797	-0.052795475	-0.540605356	1.307622791
AGAP000300	X	-0.128072736	9.385689153	9.473366431	1.400038547
AGAP000303	X	0.479042959	7.729042831	7.36451659	1.299155943
AGAP000304	X	-0.766873419	2.429401775	1.776485848	-2.186238038
AGAP000305	X	-0.622814134	0.912554401	0.536201622	-2.264644438
AGAP000306	X	0.181858806	0.518141586	1.061190444	0.225808217
AGAP000307	X	0.07299134	9.395282253	9.532269584	1.49520202
AGAP000308	X	-2.958810658	0.196549164	0.257598993	3.656958763
AGAP000309	X	-0.055716249	8.484870007	8.382194411	0.811620964
AGAP000310	X	1.541792639	6.413880129	5.926480252	2.507972154
AGAP000311	X	-3.004008561	0.33917475	-1.612243528	0.265538771
AGAP000312	X	-0.295168252	1.998503514	1.540418658	-1.985559362
AGAP000313	X	0.201012727	4.951511178	6.636791753	-0.168504174
AGAP000314	X	0.195058021	9.478918048	9.366065957	1.685392458
AGAP000315	X	0.487427352	7.571889341	7.218905137	1.005759458
AGAP000316	X	1.856938612	5.315620238	3.095511149	0.725060256
AGAP000317	X	-1.517775927	0.251063944	0.642318806	1.737160984
AGAP000319	X	0.596502744	8.381830312	8.35805983	1.611526459
AGAP000320	X	-0.64624949	6.952685066	7.708640645	-0.371000025
AGAP000321	X	3.46692444	4.881645345	5.053109714	2.115533946
AGAP000322	X	2.050948902	3.186466947	3.80943699	1.069778378
AGAP000323	X	-0.218492752	9.289308673	9.544511933	1.261967373
AGAP000324	X	-1.337678478	7.675010093	8.154931536	1.060039841
AGAP000325	X	-6.451869856	-0.107276392	-2.601887555	4.768542126
AGAP000326	X	0.346643253	6.99522895	6.906075157	0.439470766
AGAP000327	X	-5.368167214	-0.062335596	-2.099328703	3.52459649
AGAP000328	X	-3.662329916	0.517022343	-0.622681282	2.249213853
AGAP000329	X	-0.00440807	7.313752107	6.422975189	0.108744178
AGAP000330	X	-0.266250155	3.49514569	2.681413428	-2.398683534
AGAP000331	X	0.085459617	9.894280434	9.918215212	1.73771456
AGAP000332	X	0.192006739	9.584083664	9.553026514	1.725050243
AGAP000334	X	0.226037429	8.32252218	8.389582579	1.320118284
AGAP000336	X	-0.579479069	5.245605203	1.769901031	-4.274375221
AGAP000337	X	0.112043474	9.171328747	9.258193203	1.573716191
AGAP000338	X	-1.878222253	3.263074065	7.386967448	0.020593379
AGAP000339	X	-2.290983723	3.597048744	0.127905393	1.964115355
AGAP000340	X	-0.160136967	7.761335649	7.800169514	0.884642979
AGAP000341	X	-0.169973331	2.659255653	2.315124332	-0.876532271
AGAP000343	X	0.53739324	8.173325041	7.73402124	1.328387706
AGAP000344	X	-1.175648826	4.821745976	2.841772881	-3.117404815
AGAP000345	X	-1.529744163	7.75292441	8.14029018	0.864999454
AGAP000346	X	-2.602472081	0.271321992	1.603389492	3.262963069
AGAP000347	X	-1.46590476	2.9566388	0.285158613	-2.359182722
AGAP000348	X	-0.425399241	7.690058745	8.650875251	-0.719472146
AGAP000349	X	-2.841507022	3.364720276	-0.301858821	1.871764096
AGAP000351	X	0.803046234	5.689148034	5.142216002	0.468583115
AGAP000354	X	-4.319874256	0.214761128	-0.974543376	2.724801668
AGAP000355	X	-0.03449455	7.539117892	7.549803528	0.866265584
AGAP000356	X	-0.082759038	7.289427677	7.027645701	0.38214918
AGAP000357	X	0.549113156	7.117303091	7.062304707	1.666212174
AGAP000358	X	-0.579593555	0.983518678	0.651248878	-0.761856589
AGAP000359	X	-1.200570231	6.046862861	7.200425758	3.000755023
AGAP000360	X	0.066120633	9.567518327	9.684157036	1.599824631
AGAP000361	X	0.441549098	8.894941938	8.903192716	1.630732482
AGAP000363	X	-0.833481065	8.684527003	9.173313655	0.485166974
AGAP000364	X	0.28978517	8.780135667	8.828776642	1.340833346
AGAP000365	X	0.647780435	7.250498755	5.927555672	1.267663808
AGAP000366	X	0.478643702	4.558181533	3.161408127	-1.299947984
AGAP000367	X	-1.359500188	5.419112754	2.563193257	-4.028240028
AGAP000368	X	0.069941506	10.02504844	10.11358527	1.753454093
AGAP000372	X	-0.382705513	8.68533631	9.133214969	0.983754376
AGAP000374	X	0.000576815	9.714757106	9.663250566	1.719646205
AGAP000375	X	0.8530189	7.091276706	6.611236648	1.004424006
AGAP000376	X	-1.715805786	7.548741948	7.193512143	-0.681372328
AGAP000377	X	0.559409848	4.959216884	3.570006832	-2.208696509
AGAP000378	X	-1.880564772	0.418375548	0.243068904	1.531495426
AGAP000379	X	-0.686988378	8.402582473	8.955699884	0.395648268
AGAP000380	X	-4.964030317	-0.16635513	-1.818972704	3.580337359
AGAP000382	X	0.035721051	2.386072994	1.364099546	-1.873930711
AGAP000383	X	-1.486640648	6.860129456	7.660675951	-0.526569211
AGAP000384	X	-0.289149321	9.18910087	9.436880333	0.700187853
AGAP000385	X	1.742059352	6.98423225	6.978901192	1.641157565
AGAP000386	X	-0.981254214	6.944836804	7.148520856	0.666377325
AGAP000387	X	0.086522975	7.412211143	7.592859839	0.787181375
AGAP000388	X	1.535877237	7.173859908	6.632860987	1.613475104
AGAP000389	X	0.223320217	9.106925214	9.114988013	1.599410763
AGAP000390	X	0.297599094	9.100900524	9.238585516	1.621731213
AGAP000392	X	-2.873221663	1.627761532	-0.540254234	1.300264371
AGAP000393	X	-0.496864526	2.204802277	1.940855296	-1.354293758
AGAP000394	X	0.172381249	8.789189642	8.957793644	1.548220836
AGAP000395	X	1.318681811	7.098032696	6.719512887	1.609004633
AGAP000396	X	-3.003079441	2.026340392	-0.731764558	2.068299283
AGAP000397	X	0.106942194	6.837166343	7.485172333	0.147593895
AGAP000398	X	-4.377043602	-0.198714014	-2.802356168	3.34419386
AGAP000399	X	-0.749554651	1.062699722	-0.893473018	-0.532397204
AGAP000400	X	-1.580331223	7.793827143	8.511546663	-0.414571076
AGAP000401	X	1.322609687	6.574478626	5.935795288	1.590494646
AGAP000402	X	1.496824983	6.283097565	5.675255646	1.411687958
AGAP000403	X	1.64578975	5.636891274	5.806867615	1.533301442
AGAP000405	X	-0.799989127	8.372148505	8.783762878	0.912135074
AGAP000406	X	-0.17574817	8.923773213	9.012623023	1.161493819
AGAP000407	X	-0.480531355	8.391043077	8.785240349	0.856941704
AGAP000410	X	-0.552200825	8.453088714	8.206228182	0.386847717
AGAP000411	X	0.845183793	8.91283753	-6.531805556	4.235769139
AGAP000412	X	-1.061556192	6.828860164	6.770557036	-0.541428582
AGAP000413	X	-0.368015894	9.041070218	9.038099185	1.225017516
AGAP000414	X	1.030797585	0.022950596	1.036583751	-1.675325519
AGAP000415	X	0.70828377	-0.032319956	0.491481092	-2.085612608
AGAP000416	X	-1.847572375	7.0144544	7.029347611	-0.541010504
AGAP000418	X	-0.74072794	5.503927124	2.847798799	-2.810253635
AGAP000420	X	0.737632845	7.393460381	7.354433028	1.386386207
AGAP000421	X	2.947954381	5.330386903	5.264361592	2.054504107
AGAP000422	X	0.013127328	8.596914273	8.526629441	1.50382918
AGAP000425	X	-2.427115749	1.778403557	-0.625431808	-0.611130553
AGAP000426	X	-0.883706331	3.81799888	1.776644657	-1.17010582
AGAP000427	X	-0.214932349	9.130661939	9.369881982	1.169515664
AGAP000428	X	-0.193587374	7.956779039	8.452089413	0.860846831
AGAP000429	X	0.797986686	8.628743466	8.270814988	1.984778327
AGAP000430	X	2.212803973	6.900666523	6.053755147	3.010295677
AGAP000431	X	2.24454262	-1.897905524	-0.12767952	-2.886832504
AGAP000432	X	-0.588907853	7.182040669	7.519437634	1.198322758
AGAP000433	X	-0.934261504	-0.110176562	1.154067474	0.297977376
AGAP000434	X	-5.784098993	3.435682412	4.283925691	3.869656003
AGAP000436	X	1.405516179	7.329736193	6.281459802	1.388075687
AGAP000437	X	-5.788262923	-0.510240979	-2.537539849	5.041497708
AGAP000438	X	-0.634283965	6.427569166	6.515799508	-0.395630746
AGAP000440	X	-0.511105809	5.201785256	2.934991384	-3.586781631
AGAP000441	X	1.335505928	3.666891164	4.765772201	-0.455109737
AGAP000442	X	-4.206220976	2.287622916	6.738520091	2.97758224
AGAP000443	X	0.150035648	9.673502563	9.68756058	1.702984945
AGAP000444	X	-0.626384446	7.036471525	7.718945716	-0.079212095
AGAP000445	X	-0.685694798	3.523608598	3.293110685	-2.005890975
AGAP000446	X	-0.377250935	8.275552485	8.272464532	0.998305764
AGAP000447	X	0.580459256	8.777507488	8.581503358	1.689446858
AGAP000448	X	0.984677326	7.367028646	6.603320621	1.297849605
AGAP000449	X	-0.05929025	9.853269114	9.917590925	1.618422965
AGAP000452	X	-0.935904373	8.47276996	9.167001492	0.200525586
AGAP000453	X	-0.199655446	10.00864108	9.943357999	1.394428795
AGAP000454	X	-0.622968669	8.422382418	8.724720826	0.66099688
AGAP000456	X	0.269494548	0.681351436	0.843994216	0.012640638
AGAP000457	X	0.031021487	6.811711241	7.176530152	1.096916521
AGAP000458	X	-0.712591646	7.975172179	8.549521538	-0.35563131
AGAP000459	X	-0.318223868	0.22635278	0.200678343	-0.0184103
AGAP000460	X	-0.939648874	5.68971358	2.92566764	-2.950178651
AGAP000461	X	-0.076567387	9.473333599	9.643489474	1.377608809
AGAP000462	X	-0.457312866	0.317498155	0.302588284	-0.591857201
AGAP000463	X	-0.330773517	9.172312984	9.510306503	1.098192838
AGAP000466	X	-0.570478557	5.828609077	3.661893593	-1.595208695
AGAP000467	X	-0.513927286	8.882271895	9.284587448	0.788738716
AGAP000468	X	-0.104365438	9.144282467	9.379490287	1.20521397
AGAP000469	X	0.472493986	-1.638298497	1.468593321	-0.525411796
AGAP000470	X	-2.122977368	-0.457994321	-1.147242449	1.391716243
AGAP000472	X	-0.714605913	8.797531303	9.193731867	0.710061684
AGAP000473	X	-5.811719606	1.579861015	7.745343254	3.16347614
AGAP000474	X	-0.733141334	8.940700629	9.165438208	0.789300791
AGAP000475	X	-0.80535608	7.757945356	8.169208011	0.199270194
AGAP000476	X	-1.200967663	8.102288369	8.674462203	-0.547118376
AGAP000477	X	-0.971003823	7.433223758	8.10074415	0.197372844
AGAP000478	X	1.136175541	6.633646874	6.349751922	1.098195828
AGAP000479	X	2.468805614	5.780480148	5.877320998	1.794822892
AGAP000480	X	-3.857879683	2.00271366	7.91707122	0.155653209
AGAP000481	X	1.12418263	7.553072882	6.768403905	1.242007786
AGAP000482	X	-1.102752482	4.868904393	2.585434025	-3.808801081
AGAP000483	X	0.797129479	8.08912902	8.288753538	1.746423984
AGAP000484	X	0.183787214	7.928429017	8.075561151	1.112591532
AGAP000488	X	1.231815345	6.600573217	6.191546331	0.767912774
AGAP000489	X	0.22236914	8.397055514	8.255177125	1.344914425
AGAP000491	X	-0.433269464	1.412946396	0.534618523	-2.479316042
AGAP000492	X	3.519635961	-1.435769502	5.106802008	0.280469405
AGAP000493	X	-0.320537232	0.198692438	0.174212361	-0.154399328
AGAP000494	X	3.058185978	3.222474915	3.731682932	1.516434461
AGAP000495	X	-4.57295909	0.839381522	6.709054601	1.799303835
AGAP000496	X	3.200262833	-2.157270294	0.690814906	-2.107845119
AGAP000497	X	3.825427582	3.078708325	4.503902052	2.309336805
AGAP000498	X	-3.006782855	0.290551876	0.144684899	1.449154573
AGAP000499	X	0.298037019	6.915746744	7.087798832	1.054613528
AGAP000500	X	0.236359425	4.834018102	3.440049072	-2.06173698
AGAP000502	X	0.176040217	7.758268353	7.604998658	2.086727503
AGAP000504	X	-0.617812234	9.118657513	9.534979023	0.947252442
AGAP000506	X	-0.917008589	7.566892576	8.187720483	-0.477142296
